z_windows,k_slope,yc_cw,k_yc,term_z_w,k_term,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,ann_ret,mdd,excess,n_events,n_dead,win_rate,consistency,min_excess,composite_score
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,63,0.75,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,91,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,42,0.75,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,91,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,63,0.5,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,91,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,42,1.0,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,91,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,42,0.5,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,91,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.625,0,0.0,0,0.5386815822222913,0.5896381079804912,0.3321946143115028,0.06532225825489357,-0.19663852284384153,0.08144340190305488,94,2,0.7222222222222222,7.98454186030148,-0.15694355921917835,0.322547043790985
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,42,1.0,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,89,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,42,0.75,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,89,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,0,0.0,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,92,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,42,0.5,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,89,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,63,0.5,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,89,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.75,63,0.75,0,0.5333090635219201,0.5837554379826443,0.3299573537574391,0.06488232664432547,-0.19663852284384087,0.08100347029248678,89,2,0.7222222222222222,8.029463731018396,-0.15694355921917835,0.31919585813555446
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,42,1.0,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,95,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,63,0.5,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,95,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,63,0.75,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,95,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,42,0.75,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,95,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,0,0.0,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,98,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.625,42,0.5,0,0.497019886864644,0.5381686596309432,0.31223763373556324,0.06139794707401758,-0.19663852284384153,0.07751909072217888,95,2,0.7222222222222222,7.556051727896941,-0.1897735323277323,0.2942187907729235
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.75,42,1.0,0,0.491622862053017,0.532312574582742,0.31000861454371853,0.06095963603274246,-0.19663852284384087,0.07708077968090377,93,2,0.7222222222222222,7.594788465814773,-0.1897735323277323,0.2908581700693105
"[63, 252]",1.0,84,0.3,63,0.4,-3.625,3.625,-2.75,0,0.0,0,0.491622862053017,0.532312574582742,0.31000861454371853,0.06095963603274246,-0.19663852284384087,0.07708077968090377,96,2,0.7222222222222222,7.594788465814773,-0.1897735323277323,0.2908581700693105
